Opcode;Value;Addressing;Example;Cycles;Comment
STA;$85;Zeropage;STA $12;3;
STX;$86;Zeropage;STX $12;3;
NOP;$87;Zeropage;NOP $12;?;
DEY;$88;Implied;DEY;2;
BIT;$89;Immediate;BIT #$12;2;
TXA;$8A;Implied;TXA;2;
NOP;$8B;Immediate;NOP #$12;?;
STY;$8C;Absolute;STY $1234;4;
STA;$8D;Absolute;STA $1234;4;
STX;$8E;Absolute;STX $1234;4;
NOP;$8F;Zeropage Relative;NOP $12,$1234;?;
BCC;$90;Relative;BCC $1234;2*;
STA;$91;(Indirect),Y;STA ($12),Y;6;
JAM;$92;Implied;JAM;1;
NOP;$93;Absolute,X;NOP $1234,X;?;
STY;$94;Zeropage,X;STY $12,X;4;
STA;$95;Zeropage,X;STA $12,X;4;
STX;$96;Zeropage,Y;STX $12,Y;4;
NOP;$97;Zeropage;NOP $12;?;
TYA;$98;Implied;TYA;2;
STA;$99;Absolute,Y;STA $1234,Y;5;
TXS;$9A;Implied;TXS;2;
NOP;$9B;Absolute,Y;NOP $1234,Y;?;
STZ;$9C;Absolute;STZ;?;
STA;$9D;Absolute,X;STA $1234,X;5;
STZ;$9E;Absolute,X;STZ;?;
NOP;$9F;Zeropage Relative;NOP $12,$1234;?;
LDY;$A0;Immediate;LDY #$12;2;
LDA;$A1;(Indirect,X);LDA ($12,X);6;
LDX;$A2;Immediate;LDX #$12;2;
NOP;$A3;(Indirect,X);NOP ($12,X);?;
LDY;$A4;Zeropage;LDY $12;3;
LDA;$A5;Zeropage;LDA $12;3;
LDX;$A6;Zeropage;LDX $12;3;
NOP;$A7;Zeropage;NOP $12;?;
TAY;$A8;Implied;TAY;2;
LDA;$A9;Immediate;LDA #$12;2;
TAX;$AA;Implied;TAX;2;
NOP;$AB;Immediate;NOP #$12;?;
LDY;$AC;Absolute;LDY $1234;4;
LDA;$AD;Absolute;LDA $1234;4;
LDX;$AE;Absolute;LDX $1234;4;
NOP;$AF;Zeropage Relative;NOP $12,$1234;?;
BCS;$B0;Relative;BCS $1234;2*;
LDA;$B1;(Indirect),Y;LDA ($12),Y;5*;
JAM;$B2;Implied;JAM;1;
NOP;$B3;(Indirect),Y;NOP ($12),Y;?;
LDY;$B4;Zeropage,X;LDY $12,X;4;
LDA;$B5;Zeropage,X;LDA $12,X;4;
LDX;$B6;Zeropage,Y;LDX $12,Y;4;
NOP;$B7;Zeropage;NOP $12;?;
CLV;$B8;Implied;CLV;2;
LDA;$B9;Absolute,Y;LDA $1234,Y;4*;
TSX;$BA;Implied;TSX;2;
NOP;$BB;Absolute,Y;NOP $1234,Y;?;
LDY;$BC;Absolute,X;LDY $1234,X;4*;
