Opcode;Value;Addressing;Example;Cycles;Comment
ROR;$7E;Absolute,X;ROR $1234,X;7;
RRA;$7F;Absolute,X;RRA $1234,X;7;Illegal
NOP;$80;Immediate;NOP #$12;2;Illegal
STA;$81;(Indirect,X);STA ($12,X);6;
NOP;$82;Immediate;NOP #$12;2;Illegal
SAX;$83;(Indirect,X);SAX ($12,X);6;Illegal
STY;$84;Zeropage;STY $12;3;
STA;$85;Zeropage;STA $12;3;
STX;$86;Zeropage;STX $12;3;
SAX;$87;Zeropage;SAX $12;3;Illegal
DEY;$88;Implied;DEY;2;
NOP;$89;Immediate;NOP #$12;2;Illegal
TXA;$8A;Implied;TXA;2;
ANE;$8B;Immediate;ANE #$12;2;Illegal
STY;$8C;Absolute;STY $1234;4;
STA;$8D;Absolute;STA $1234;4;
STX;$8E;Absolute;STX $1234;4;
SAX;$8F;Absolute;SAX $1234;4;Illegal
BCC;$90;Relative;BCC $1234;2*;
STA;$91;(Indirect),Y;STA ($12),Y;6;
JAM;$92;Implied;JAM;1;
SHA;$93;Absolute,X;SHA $1234,X;5;Illegal
STY;$94;Zeropage,X;STY $12,X;4;
STA;$95;Zeropage,X;STA $12,X;4;
STX;$96;Zeropage,Y;STX $12,Y;4;
SAX;$97;Zeropage,Y;SAX $12,Y;4;Illegal
TYA;$98;Implied;TYA;2;
STA;$99;Absolute,Y;STA $1234,Y;5;
TXS;$9A;Implied;TXS;2;
SHS;$9B;Absolute,Y;SHS $1234,Y;5;Illegal
SHY;$9C;Absolute,X;SHY $1234,X;5;Illegal
STA;$9D;Absolute,X;STA $1234,X;5;
SHX;$9E;Absolute,Y;SHX $1234,Y;5;Illegal
SHA;$9F;Absolute,Y;SHA $1234,Y;5;Illegal
LDY;$A0;Immediate;LDY #$12;2;
LDA;$A1;(Indirect,X);LDA ($12,X);6;
LDX;$A2;Immediate;LDX #$12;2;
LAX;$A3;(Indirect,X);LAX ($12,X);6;Illegal
LDY;$A4;Zeropage;LDY $12;3;
LDA;$A5;Zeropage;LDA $12;3;
LDX;$A6;Zeropage;LDX $12;3;
LAX;$A7;Zeropage;LAX $12;3;Illegal
TAY;$A8;Implied;TAY;2;
LDA;$A9;Immediate;LDA #$12;2;
TAX;$AA;Implied;TAX;2;
LXA;$AB;Immediate;LXA #$12;2;Illegal
LDY;$AC;Absolute;LDY $1234;4;
LDA;$AD;Absolute;LDA $1234;4;
LDX;$AE;Absolute;LDX $1234;4;
LAX;$AF;Absolute;LAX $1234;4;Illegal
BCS;$B0;Relative;BCS $1234;2*;
LDA;$B1;(Indirect),Y;LDA ($12),Y;5*;
JAM;$B2;Implied;JAM;1;
LAX;$B3;(Indirect),Y;LAX ($12),Y;5*;Illegal
LDY;$B4;Zeropage,X;LDY $12,X;4;
LDA;$B5;Zeropage,X;LDA $12,X;4;
LDX;$B6;Zeropage,Y;LDX $12,Y;4;
LAX;$B7;Zeropage,Y;LAX $12,Y;4;Illegal
CLV;$B8;Implied;CLV;2;
LDA;$B9;Absolute,Y;LDA $1234,Y;4*;
TSX;$BA;Implied;TSX;2;
LAE;$BB;Absolute,Y;LAE $1234,Y;4*;Illegal
LDY;$BC;Absolute,X;LDY $1234,X;4*;
LDA;$BD;Absolute,X;LDA $1234,X;4*;
LDX;$BE;Absolute,Y;LDX $1234,Y;4*;
LAX;$BF;Absolute,Y;LAX $1234,Y;4*;Illegal
