Opcode	Value	Addressing	Example	Cycles	Comment
PHY	$5A	Implied	PHY	?	
TAB	$5B	Implied	TAB	2	
MAP	$5C	Implied	MAP	2	
EOR	$5D	Absolute,X	EOR $1234,X	4*	
LSR	$5E	Absolute,X	LSR $1234,X	7	
LSRQ	$5E	Absolute,X	LSRQ $1234,X	6*	
BBR5	$5F	Zeropage Relative	BBR5 $12,$1234	2*	
RTS	$60	Implied	RTS	6	
ADC	$61	(Indirect,X)	ADC ($12,X)	6	
RTN	$62	Immediate	RTN #$12	6	
LBSR	$63	Relative 16bit	LBSR $1234	3*	
STZ	$64	Zeropage	STZ	3	
ADC	$65	Zeropage	ADC $12	3	
ADCQ	$65	Zeropage	ADCQ $12	3	
ROR	$66	Zeropage	ROR $12	5	
RORQ	$66	Zeropage	RORQ $12	5	
RMB6	$67	Zeropage	RMB6 $12	5	
PLA	$68	Implied	PLA	4	
ADC	$69	Immediate	ADC #$12	2	
ROR	$6A	Implied	"ROR
ROR A"	2	
RORQ	$6A	Implied	RORQ	2	
TZA	$6B	Implied	TZA	2	
JMP	$6C	(Abs. Indirect)	JMP ($1234)	5	
ADC	$6D	Absolute	ADC $1234	4	
ADCQ	$6D	Absolute	ADCQ $1234	4	
ROR	$6E	Absolute	ROR $1234	6	
RORQ	$6E	Absolute	RORQ $1234	6	
BBR6	$6F	Zeropage Relative	BBR6 $12,$1234	2*	
BVS	$70	Relative	BVS $1234	2*	
ADC	$71	(Indirect),Y	ADC ($12),Y	5*	
ADC	$72	(Indirect),Z	ADC ($12),Z	5	
ADC	$72	(Indirect),Z	ADC [$12],Z	5	long mode
ADCQ	$72	Zeropage Indirect	ADCQ ($12),Z	5	
ADCQ	$72	Zeropage Indirect	ADCQ [$12]	5	long mode
LBVS	$73	Relative 16bit	LBVS $1234	3*	
STZ	$74	Zeropage,X	STZ	4	
ADC	$75	Zeropage,X	ADC $12,X	4	
ROR	$76	Zeropage,X	ROR $12,X	6	
RORQ	$76	Zeropage,X	RORQ $12,X	6	
RMB7	$77	Zeropage	RMB7 $12	5	
SEI	$78	Implied	SEI	2	
ADC	$79	Absolute,Y	ADC $1234,Y	4*	
PLY	$7A	Implied	PLY	4	
TBA	$7B	Implied	TBA	2	
JMP	$7C	Absolute Indirect X	JMP ($1234,X)	6	
ADC	$7D	Absolute,X	ADC $1234,X	4*	
ROR	$7E	Absolute,X	ROR $1234,X	7	
RORQ	$7E	Absolute,X	RORQ $1234,X	7	
BBR7	$7F	Zeropage Relative	BBR7 $12,$1234	2*	
BRA	$80	Relative	BRA $1234	3*	
STA	$81	(Indirect,X)	STA ($12,X)	6	
STA	$82	(Indirect,Stack),Y	STA ($12,S),Y	7	
LBRA	$83	Relative 16bit	LBRA $1234	4	
STY	$84	Zeropage	STY $12	3	
STA	$85	Zeropage	STA $12	3	
STQ	$85	Zeropage	STQ $12	3	
STX	$86	Zeropage	STX $12	3	
SMB0	$87	Zeropage	SMB0 $12	5	
DEY	$88	Implied	DEY	2	
BIT	$89	Immediate	BIT #$12	2	
TXA	$8A	Implied	TXA	2	
STY	$8B	Absolute,X	STY $1234,X	5	
STY	$8C	Absolute	STY $1234	4	
STA	$8D	Absolute	STA $1234	4	
STQ	$8D	Absolute	STQ $1234	4	
STX	$8E	Absolute	STX $1234	4	
BBS0	$8F	Zeropage Relative	BBS0 $12,$1234	2*	
BCC	$90	Relative	BCC $1234	2*	
STA	$91	(Indirect),Y	STA ($12),Y	6	
STA	$92	(Indirect),Z	STA ($12),Z	5	
STA	$92	(Indirect),Z	STA [$12],Z	5	long mode
STQ	$92	Zeropage Indirect	STQ ($12)	5	
STQ	$92	Zeropage Indirect	STQ [$12]	5	long mode
LBCC	$93	Relative 16bit	LBCC $1234	3*	
STY	$94	Zeropage,X	STY $12,X	4	
STA	$95	Zeropage,X	STA $12,X	4	
STX	$96	Zeropage,Y	STX $12,Y	4	
SMB1	$97	Zeropage	SMB1 $12	5	
TYA	$98	Implied	TYA	2	
STA	$99	Absolute,Y	STA $1234,Y	5	
TXS	$9A	Implied	TXS	2	
STX	$9B	Absolute,Y	STX $1234,Y	5	
STZ	$9C	Absolute	STZ	4	
STA	$9D	Absolute,X	STA $1234,X	5	
STZ	$9E	Absolute,X	STZ	5	
BBS1	$9F	Zeropage Relative	BBS1 $12,$1234	2*	
LDY	$A0	Immediate	LDY #$12	2	
LDA	$A1	(Indirect,X)	LDA ($12,X)	6	
LDX	$A2	Immediate	LDX #$12	2	
LDZ	$A3	Immediate	LDZ #$12	2	
LDY	$A4	Zeropage	LDY $12	3	
LDA	$A5	Zeropage	LDA $12	3	
LDQ	$A5	Zeropage	LDQ $12	3	
LDX	$A6	Zeropage	LDX $12	3	
SMB2	$A7	Zeropage	SMB2 $12	5	
TAY	$A8	Implied	TAY	2	
LDA	$A9	Immediate	LDA #$12	2	
TAX	$AA	Implied	TAX	2	
LDZ	$AB	Absolute	LDZ $1234	4	
LDY	$AC	Absolute	LDY $1234	4	
LDA	$AD	Absolute	LDA $1234	4	
LDQ	$AD	Absolute	LDQ $1234	4	
LDX	$AE	Absolute	LDX $1234	4	
